,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
485,ARRIVALS_OVERNIGHT,US,2017.0,0.0
486,ARRIVALS_OVERNIGHT,US,2018.0,0.0
487,ARRIVALS_OVERNIGHT,US,2019.0,0.0
488,ARRIVALS_OVERNIGHT,US,2020.0,0.0
489,ARRIVALS_OVERNIGHT,US,2021.0,0.0
490,ARRIVALS_OVERNIGHT,UK,2012.0,49.2
491,ARRIVALS_OVERNIGHT,UK,2013.0,53.2
492,ARRIVALS_OVERNIGHT,UK,2014.0,65.1
493,ARRIVALS_OVERNIGHT,UK,2015.0,112.4
494,ARRIVALS_OVERNIGHT,UK,2016.0,117.9
495,ARRIVALS_OVERNIGHT,UK,2017.0,230.6
496,ARRIVALS_OVERNIGHT,UK,2018.0,239.5
497,ARRIVALS_OVERNIGHT,UK,2019.0,251.0
498,ARRIVALS_OVERNIGHT,UK,2020.0,50.2
499,ARRIVALS_OVERNIGHT,UK,2021.0,70.1
500,ARRIVALS_OVERNIGHT,AM,2012.0,0.0
501,ARRIVALS_OVERNIGHT,AM,2013.0,0.0
502,ARRIVALS_OVERNIGHT,AM,2014.0,0.0
503,ARRIVALS_OVERNIGHT,AM,2015.0,0.0
504,ARRIVALS_OVERNIGHT,AM,2016.0,0.0
505,ARRIVALS_OVERNIGHT,AM,2017.0,0.0
506,ARRIVALS_OVERNIGHT,AM,2018.0,0.0
507,ARRIVALS_OVERNIGHT,AM,2019.0,0.0
508,ARRIVALS_OVERNIGHT,AM,2020.0,0.0
509,ARRIVALS_OVERNIGHT,AM,2021.0,0.0
510,ARRIVALS_OVERNIGHT,AU,2012.0,0.0
511,ARRIVALS_OVERNIGHT,AU,2013.0,0.0
512,ARRIVALS_OVERNIGHT,AU,2014.0,0.0
513,ARRIVALS_OVERNIGHT,AU,2015.0,0.0
514,ARRIVALS_OVERNIGHT,AU,2016.0,0.0
515,ARRIVALS_OVERNIGHT,AU,2017.0,0.0
516,ARRIVALS_OVERNIGHT,AU,2018.0,0.0
517,ARRIVALS_OVERNIGHT,AU,2019.0,0.0
518,ARRIVALS_OVERNIGHT,AU,2020.0,0.0
519,ARRIVALS_OVERNIGHT,AU,2021.0,0.0
520,ARRIVALS_OVERNIGHT,AT,2012.0,9.4
521,ARRIVALS_OVERNIGHT,AT,2013.0,11.5
